VisualizationID	SpecFile	LocalSpecIdx	Scan	LocalPeptideIdx	Name	Score	P-Value	PeptideMass	SpectrumMass	Retention	Adduct	Charge	SMILES	FDR
spectra-01776_PSM_0_CU8LTG9UEZ	MSV000078982/peak/0_WilliamsFreshwaterCyanosStandardsSelectedScansConvertedTo_mzXML/PW-43_P1-E-7_Scytonemin_A_1462amu_01_15558_San632-735.mzXML	24	664	4671	Scytonemin_A	31	2.5e-57	1462.76	1463.78	175.352	M+H	1	N12C(=O)[C@H]3N(C(=O)CNC(=O)[C@H](NC(=O)[C@H]([C@H](NC(=O)[C@H]4N(C(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)[C@@H]1C([C@H](C2)O)C)CC(C)C)CCO)Cc1ccccc1)[C@H](C(C)C)O)CC[C@@H]4C)C[C@@H](OC(=O)[C@@H](NC(=O)C)C)CCCC(Cc1ccccc1)O)O)CO)C[C@@H]([C@@H]3C)O	0.00
spectra-03057_PSM_6_TKDTJCUHV3	MSV000079098/raw/GNPS_Cichewicz_Fungi_Collection/Plate57/Reese_Cz1_57C3_RC3_01_589.mzXML	2442	3580	2080	Cyclosporin,_9CI_Cyclosporin_E	29	1.7e-56	1187.83	1188.83	480.489	M+H	1	CC=CCC(C)C(C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N1C)O	0.00
spectra-07623_PSM_0_PY1MXL0IFC	MSV000079450/ccms_peak/mzXML/P2-F-12_P2-F-12_01_12453.mzXML	261	557	2928	SNA_60-367_SNA_60-367-6	29	2.6e-56	1476.81	739.419	197.692	M+2H	2	CCC(C)CCCCCCCCCCC(CC(=O)NC(CCC(=O)O)C(=O)NC(CCCN)C(=O)NC1Cc2ccc(cc2)OC(=O)C(C(C)CC)NC(=O)C(Cc2ccc(cc2)O)NC(=O)C(CCC(=N)O)NC(=O)C2CCCN2C(=O)C(C)NC(=O)C(CCC(=O)O)NC(=O)C(C(C)O)NC1=O)O	0.00
spectra-12821_PSM_0_UYG5ELM7YL	MSV000078936/ccms_peak/Samples/ISP2-s-EAM-P-08_A-9_P1-A-9_01_13461.mzXML	109	483	3493	E'Surugamide_A'	26	3.0e-56	911.621	912.64	172.726	M+H	1	NCCCC[C@H]1NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](C)NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@H](NC(=O)[C@H](NC1=O)[C@@H](CC)C)Cc1ccccc1)CC(C)C)[C@H](CC)C)[C@H](CC)C)[C@@H](CC)C	0.00
spectra-03057_PSM_11_B8ODIAZDTU	MSV000079098/raw/GNPS_Cichewicz_Fungi_Collection/Plate57/Reese_Cz1_57C3_RC3_01_589.mzXML	2427	3561	1882	Cyclosporin,_9CI_Deoxy	28	1.4e-54	1185.85	1186.87	478	M+H	1	CC=CCC(C)CC1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C	0.00
spectra-03068_PSM_0_G4LERDIDRR	MSV000079450/ccms_peak/mzXML/P3-C-12_P1-C-12_01_12593.mzXML	262	535	433	SNA_60-367_SNA_60-367-2	28	1.5e-54	1462.8	732.407	190.281	M+2H	2	CCC(C)C1C(=O)Oc2ccc(cc2)CC(C(=O)NC(C(C)O)C(=O)NC(CCC(=O)O)C(=O)NC(C)C(=O)N2CCCC2C(=O)NC(CCC(=N)O)C(=O)NC(Cc2ccc(cc2)O)C(=O)N1)NC(=O)C(CCCN)NC(=O)C(CCC(=O)O)NC(=O)CC(CCCCCCCCCCC(C)C)O	0.00
spectra-00614_PSM_0_60LA1KX507	MSV000078635/spectrum/Large_Pseudomonas_v2/P3-A-03_P1-A-3_01_3445.mzXML	286	822	1622	Orfamide_A_Orfamide_A	26	2.1e-54	1294.84	1295.85	287.004	M+H	1	CCCCCCCCCCCC(CC(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC1C(C)OC(=O)C(C(C)C)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(C(C)CC)NC1=O)O	0.00
spectra-05954_PSM_0_Y5OEI0L3YP	MSV000079450/ccms_peak/mzXML/P1-H-07_P1-H-7_01_3312.mzXML	137	262	678	Tolaasin_Tolaasin_D	27	1.6e-53	1986.21	994.105	98.297	M+2H	2	CCCCCC(CC(=O)NC(=CC)C(=O)N1CCCC1C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(CCC(=N)O)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(=CC)C(=O)NC1C(C)OC(=O)C(CCCCN)NC(=O)C(CCN)NC(=O)C(CCO)NC(=O)C(C(C)CC)NC1=O)O	0.00
spectra-01355_PSM_2_4090C42YXD	MSV000079098/ccms_peak/GNPS_Cichewicz_Fungi_Collection/Plate57/Clearwater_SEA1_57D1_RD1_01_599.mzXML	839	1511	4057	SCH-378161	28	9.2e-53	1122.63	1123.64	213.715	M+H	1	C1(=O)N(C(C(=O)NC(C(=O)N2C(C(=O)NC(C(=O)N(C(C(=O)OC(C(=O)NC(C(=O)N3C(C(=O)NCC(=O)N(C1C(C)C)C)CCC3)Cc1ccccc1)C(CC)C)CCC(=O)O)C)C(C)C)CCC2)C(CC)C)CCC(=O)N)C	0.00
spectra-02208_PSM_0_83OYB25KXY	MSV000078568/raw/GNPS_Dorrestein_Gerwick_Cyanobacteria/GNPS_Dorrestein_Gerwick_Cyanobacteria/Plate29/1904_029A10_RA10_01_15399.mzXML	1854	2457	3859	dolastatin_12	31	1.0e-52	968.595	485.303	362.773	M+2H	2	c1(ccccc1)CC1C(=O)NC(C)C(=O)C(C(=O)N(C(C(=O)NC(CC)C(C(=O)OC(C(=O)NCC(=O)N(C(C(=O)NCC(=O)N(C(C(=O)N1C)C(C)C)C)CC(C)C)C)C(CC)C)C)C)C)(C)C	0.00
spectra-10193_PSM_10_0TJTFL2JVU	MSV000079098/ccms_peak/GNPS_Cichewicz_Fungi_Collection/Plate71/Dunn_Cz1_71E10_RE10_01_813.mzXML	2406	3482	80	Cyclosporin,_9CI_4-[2-(Methylamino)pentanoic_acid]_analogue	28	7.4e-52	1187.83	594.918	465.959	M+2H	2	CC=CCC(C)C(C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CCC)C(=O)N(C)C(C(C)C)C(=O)N1C)O	0.00
spectra-00925_PSM_0_272Y6L0RHA	MSV000078982/peak/1_WilliamsFreshwaterCyanosStandardsRawDataEntireRun_mzXML/PW-11_P1-B-2_Puwainaphycin_B_1232amu_01_15528.mzML	457	806	2417	Puwainaphycin_B_Puwainaphycin_B	28	1.9e-51	1232.74	1233.75	211.002	M+H	1	CCCCC(=O)CCCCCCCCCC(C)C1C(C(=O)NC(C(C)C)C(=O)NC(=CC)C(=O)NC(C(C)O)C(=O)NC(C(C)C)C(=O)NC(CCC(=N)O)C(=O)NCC(=O)NC(C(C)OC)C(=O)N(C)C(CC(=N)O)C(=O)N2CCCC2C(=O)N1)O	0.00
spectra-05530_PSM_6_FKGLABVQQO	MSV000079098/ccms_peak/GNPS_Cichewicz_Fungi_Collection/Plate71/Sapulpa_Cz2_71D8_RD8_01_798.mzXML	2138	3517	2275	Cyclosporin,_9CI_Cyclosporin_L	28	4.4e-51	1187.83	594.914	470.999	M+2H	2	CC=CCC(C)C(C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1)O	0.00
spectra-00918_PSM_0_R87JMF8FMU	MSV000078937/ccms_peak/Samples/ISP2-s-BuOH-P-03_E-4_P1-E-4_01_14327.mzXML	96	804	1640	Daitocidin_Pumilacidin_F	23	1.6e-50	1049.7	1050.7	281.055	M+H	1	CC(C)CCCCCCCCCCC1CC(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)O1	0.00
spectra-10193_PSM_11_RAQP303N7H	MSV000079098/ccms_peak/GNPS_Cichewicz_Fungi_Collection/Plate71/Dunn_Cz1_71E10_RE10_01_813.mzXML	2555	3676	2762	Cyclosporin,_9CI_Cyclosporin_Y	27	3.7e-50	1201.84	601.928	490.562	M+2H	2	CC=CCC(C)C(C1C(=O)NC(CCC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C)O	0.00
spectra-03367_PSM_0_00D7AFMQBB	MSV000078937/ccms_peak/Samples/ISP2-s-BuOH-P-08_A-12_P1-A-12_01_14698.mzXML	54	509	2995	SNA_60-367_SNA_60-367-7	27	5.1e-50	1490.83	746.432	181.96	M+2H	2	CCCCCCCCCCCCCC(CC(=O)NC(CCC(=O)O)C(=O)NC(CCCN)C(=O)NC1Cc2ccc(cc2)OC(=O)C(C(C)CC)NC(=O)C(Cc2ccc(cc2)O)NC(=O)C(CCC(=N)O)NC(=O)C2CCCN2C(=O)C(C(C)C)NC(=O)C(CCC(=O)O)NC(=O)C(C(C)O)NC1=O)O	0.00
spectra-06096_PSM_0_72OCJQQNGP	MSV000078936/raw/Samples/ISP2-s-EAM-P-07_A-10_P1-A-10_01_13360.mzXML	130	792	1091	Surfactin_Surfactin_C1	23	2.7e-49	1035.68	1036.7	276.879	M+H	1	CC(C)CCCCCCCCCC1CC(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)O1	0.00
spectra-00925_PSM_3_OZQ44RJLK7	MSV000078982/peak/1_WilliamsFreshwaterCyanosStandardsRawDataEntireRun_mzXML/PW-11_P1-B-2_Puwainaphycin_B_1232amu_01_15528.mzML	403	733	2378	Puwainaphycin_A_Puwainaphycin_A	28	5.2e-49	1234.72	1235.73	193.906	M+H	1	CCCCC(=O)CCCCCCCCCC(C)C1C(C(=O)NC(C(C)C)C(=O)NC(=CC)C(=O)NC(C(C)O)C(=O)NC(C(C)O)C(=O)NC(CCC(=N)O)C(=O)NCC(=O)NC(C(C)OC)C(=O)N(C)C(CC(=N)O)C(=O)N2CCCC2C(=O)N1)O	0.00
spectra-00952_PSM_0_BGR4TSQ5GD	MSV000078635/raw/Large_Pseudomonas_v2/P3-E-08_P1-E-8_01_3510.mzXML	285	668	1101	Putisolvin_I_Putisolvin_I	21	5.7e-49	1379.83	1380.83	235.109	M+H	1	CCCCCC(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(C(C)CC)C(=O)NC(CCC(=N)O)C(=O)NC(CO)C(=O)NC(C(C)C)C(=O)NC(C(C)CC)C(=O)NC1COC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C(CC(C)C)NC1=O	0.00
spectra-02117_PSM_4_WS6VNKTJUP	MSV000078936/clustered/MSV000078936_specs_ms.mgf	1382	2715	180	Nocardiamide_A_Nocardiamide_A	18	1.1e-48	686.437	687.463	-1	M+H	1	CCC(C)C1C(=O)NC(Cc2ccc(cc2)O)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)N1	0.00
spectra-00918_PSM_1_R7OJX7R1EC	MSV000078937/ccms_peak/Samples/ISP2-s-BuOH-P-03_E-4_P1-E-4_01_14327.mzXML	122	847	2715	Bacillus_pumilus_KMM_1364_Lipodepsipeptides_KMM_1364E	22	1.2e-48	1063.71	1064.71	295.544	M+H	1	CC(C)CCCCCCCCCCCC1CC(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)O1	0.00
spectra-05202_PSM_0_08CWD5ETJR	MSV000078635/spectrum/Large_Pseudomonas_v2/P2-A-07_P1-A-7_01_3329.mzXML	477	901	1246	Surfactin_Surfactin_D	22	2.3e-48	1049.7	1050.71	313.607	M+H	1	CC(C)CCCCCCCCCCC1CC(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)O1	0.00
spectra-01061_PSM_0_2BHOUF6CC9	MSV000078635/raw/Large_Pseudomonas_v2/P2-A-06_P1-A-6_01_3328.mzXML	216	572	640	Amphisin_9-L-Glutamic_acid_analogue	24	2.4e-48	1408.84	1409.85	202.753	M+H	1	CCCCCCCC(CC(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)NC1C(C)OC(=O)CCC(C(=O)O)NC(=O)C(C(C)CC)NC(=O)C(CC(C)C)NC(=O)C(CCC(=N)O)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC1=O)O	0.00
spectra-07623_PSM_2_ZA9ZZLHOU8	MSV000079450/ccms_peak/mzXML/P2-F-12_P2-F-12_01_12453.mzXML	279	579	2624	SNA_60-367_SNA_60-367-13	26	2.6e-48	1504.84	753.434	205.104	M+2H	2	CCC(C)C1C(=O)Oc2ccc(cc2)CC(C(=O)NC(C(C)O)C(=O)NC(CCC(=O)O)C(=O)NC(C(C)C)C(=O)N2CCCC2C(=O)NC(CCC(=N)O)C(=O)NC(Cc2ccc(cc2)O)C(=O)N1)NC(=O)C(CCCN)NC(=O)C(CCC(=O)O)NC(=O)CC(CCCCCCCCCCCC(C)C)O	0.00
spectra-03367_PSM_1_8UCVTDX82H	MSV000078937/ccms_peak/Samples/ISP2-s-BuOH-P-08_A-12_P1-A-12_01_14698.mzXML	187	752	990	Surfactin_7-L-Valine_analogue	22	8.8e-48	1021.67	1022.68	263.834	M+H	1	CC(C)CCCCCCCCCC1CC(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)O1	0.00
spectra-01833_PSM_4_JMXVPTQZ5T	MSV000078635/spectrum/Large_Pseudomonas_v2/P3-C-12_P1-C-12_01_3484.mzXML	402	844	3802	Esperin	21	1.1e-47	1035.68	1036.69	294.428	M+H	1	N1C(=O)C(NC(=O)C(NC(=O)C(NC(=O)CC(OC(=O)CC(NC(=O)C1C(C)C)C(=O)NC(C(=O)NC(C(=O)O)CC(C)C)CC(C)C)CCCCCCCCCCCC)CCC(=O)O)CC(C)C)CC(C)C	0.00
spectra-01187_PSM_6_16WZNFWNM5	MSV000079098/ccms_peak/GNPS_Cichewicz_Fungi_Collection/Plate53/Quaker_UV3_53B12_RB12_01_489.mzXML	1907	2997	2049	Cyclosporin,_9CI_N*-De-Me	27	4.0e-47	1201.84	601.934	405.554	M+2H	2	CC=CCC(C)C(C1C(=O)NC(C(C)C)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)NC(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C)O	0.00
spectra-01187_PSM_8_46MIX6T63D	MSV000079098/ccms_peak/GNPS_Cichewicz_Fungi_Collection/Plate53/Quaker_UV3_53B12_RB12_01_489.mzXML	2036	3173	1913	Cyclosporin,_9CI_N9-De-Me	25	1.3e-46	1187.83	594.921	427.998	M+2H	2	CC=CCC(C)C(C1C(=O)NC(CC)C(=O)N(C)CC(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C)O	0.00
spectra-04760_PSM_2_DWJEFJ6W6F	MSV000078936/ccms_peak/Samples/ISP2-s-EAM-P-09_B-12_P1-B-12_01_13578.mzXML	36	439	3460	E'Champacyclin'	20	1.4e-46	897.605	898.601	157.879	M+H	1	NCCCC[C@H]1NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC1=O)[C@H](CC)C)C)[C@H](CC)C)CC(C)C)[C@H](CC)C)C(C)C	0.00
spectra-11859_PSM_2_UIGKMJRMRV	MSV000078936/ccms_peak/Samples/ISP2-s-EAM-P-04_C-4_P1-C-4_01_13072.mzXML	124	671	2585	Bacillus_pumilus_KMM_1364_Lipodepsipeptides_KMM_1364A	22	1.9e-46	1035.68	1036.71	267.155	M+H	1	CCC(C)CCCCCCCCC1CC(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)O1	0.00
spectra-01187_PSM_9_3U6KOOV0G3	MSV000079098/ccms_peak/GNPS_Cichewicz_Fungi_Collection/Plate53/Quaker_UV3_53B12_RB12_01_489.mzXML	2030	3163	2621	Cyclosporin,_9CI_Cyclosporin_U	25	7.9e-46	1187.83	594.924	426.7	M+2H	2	CC=CCC(C)C(C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C)O	0.00
spectra-03336_PSM_2_CIKWDUGQGF	MSV000078568/raw/GNPS_Dorrestein_Gerwick_Cyanobacteria/GNPS_Dorrestein_Gerwick_Cyanobacteria/Plate29/1904_029B7_RB7_01_15407.mzXML	2011	2628	1663	Majusculamide_C_Demethoxy	27	9.8e-46	954.579	478.299	386.497	M+2H	2	CCC(C)C1C(=O)NCC(=O)N(C)C(C(C)C)C(=O)N(C)C(Cc2ccccc2)C(=O)NC(C)C(=O)C(C)(C)C(=O)NC(C)C(=O)NC(CC)C(C)C(=O)OC(C(C)CC)C(=O)NCC(=O)N1C	0.00
spectra-05837_PSM_3_J2NYT8JA0X	MSV000078937/ccms_peak/Samples/ISP2-s-BuOH-P-08_F-12_P1-F-12_01_14758.mzXML	157	710	952	Surfactin_Surfactin_B1	21	2.5e-45	1021.67	1022.68	249.641	M+H	1	CC(C)CCCCCCCCC1CC(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)O1	0.00
spectra-03247_PSM_0_5OHRMXDFM8	MSV000078982/peak/1_WilliamsFreshwaterCyanosStandardsRawDataEntireRun_mzXML/PW-12_v5_P1-B-3_Puwainaphycin_C_1226amu_01_15618.mzML	376	682	882	Puwainaphycin_C_Puwainaphycin_C	25	3.1e-45	1226.67	1227.68	230.779	M+H	1	CCC(CCCCCCCCCC(C)C1C(C(=O)NC(C(C)C)C(=O)NC(=CC)C(=O)NC(C(C)O)C(=O)NC(C(C)O)C(=O)NC(CCC(=N)O)C(=O)NCC(=O)NC(C(C)OC)C(=O)N(C)C(CC(=N)O)C(=O)N2CCCC2C(=O)N1)O)Cl	0.00
spectra-03057_PSM_13_DDYBYOONBC	MSV000079098/raw/GNPS_Cichewicz_Fungi_Collection/Plate57/Reese_Cz1_57C3_RC3_01_589.mzXML	1558	2435	2723	Cyclosporin,_9CI_Cyclosporin_X	27	6.6e-45	1201.84	601.927	332.963	M+2H	2	CC=CCC(C)C(C1C(=O)NC(CCC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C)O	0.00
